id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7279,0,16/10/2022,18:43:16,-21.90127858,-48.07742662,12.96,230.93,T2,137.8820253,24.26547128,91.18718174,473,5,F
7280,0,16/10/2022,18:43:16,-21.90128917,-48.07741969,12.96,230.93,T2,139.1438225,23.51835959,91.15025564,473,5,F
7281,0,16/10/2022,18:43:17,-21.90130868,-48.07740692,12.96,230.92935,T2,136.169151,22.23652077,91.12469143,473,5,F
7282,0,16/10/2022,18:43:17,-21.90131582,-48.07740233,12.96,230.9268,T2,137.3334179,22.20940785,91.12469143,473,5,F
7283,0,16/10/2022,18:43:18,-21.90132156,-48.07739864,12.96,230.92475,T2,136.9798709,22.21543294,91.11332955,473,5,F
7284,0,16/10/2022,18:43:18,-21.90132688,-48.07739522,12.96,230.92285,T2,136.3642114,22.37509794,91.10906885,473,5,F
7285,0,16/10/2022,18:43:18,-21.90132968,-48.07739342,12.96,230.92185,T2,136.3946896,22.41877987,91.11474978,473,5,F
7286,0,16/10/2022,18:43:18,-21.90133248,-48.07739162,12.96,230.92085,T2,136.7543323,22.39166695,91.10622838,473,5,F
7287,0,16/10/2022,18:43:23,-21.90148594,-48.0772899,12.96,230.9059,T2,139.2291614,23.15233511,91.11759025,473,5,F
7288,0,16/10/2022,18:43:24,-21.90150396,-48.07727674,12.96,230.9,T2,137.7479213,23.35568204,91.12895213,473,5,F
7289,0,16/10/2022,18:43:24,-21.90151488,-48.07726972,12.96,230.9,T2,136.0899077,22.82698001,91.12185096,473,5,F
7290,0,16/10/2022,18:43:25,-21.90151838,-48.07726747,12.96,230.9,T2,136.6628977,22.5543445,91.11759025,473,5,F
7291,0,16/10/2022,18:43:26,-21.90156722,-48.07723343,12.96,230.8963,T2,136.3154463,24.5381068,91.16729846,473,5,F
7292,0,16/10/2022,18:43:29,-21.90164685,-48.07717621,12.96,230.8869,T2,138.0344163,23.09961553,91.12327119,473,5,F
7293,0,16/10/2022,18:43:30,-21.90165743,-48.07716927,12.96,230.88325,T2,140.887175,22.57844487,91.14599494,473,5,F
7294,0,16/10/2022,18:43:30,-21.90167194,-48.0771592,12.96,230.88,T2,136.8152886,22.04371775,91.13889377,473,5,F
7295,0,16/10/2022,18:43:30,-21.9016774,-48.077155,12.96,230.88,T2,139.1255355,22.15970082,91.15451635,473,5,F
7296,0,16/10/2022,18:43:31,-21.90169557,-48.0771411,12.96,230.879,T2,136.1935335,23.05292105,91.16871869,473,5,F
7297,0,16/10/2022,18:43:32,-21.90170839,-48.0771316,12.96,230.87425,T2,137.9064079,22.37811049,91.16445799,473,5,F
7298,0,16/10/2022,18:43:33,-21.90174868,-48.07710248,12.96,230.87,T2,136.0716208,23.04689596,91.10906885,473,5,F
7299,0,16/10/2022,18:43:34,-21.90177487,-48.07708211,12.96,230.87,T2,136.742141,25.58647321,91.11759025,473,5,F
7300,0,16/10/2022,18:43:35,-21.90179984,-48.0770636,12.96,230.86075,T2,136.4739329,22.42179242,91.12043072,473,5,F
7301,0,16/10/2022,18:43:35,-21.90180811,-48.0770573,12.96,230.86,T2,136.6628977,22.24706469,91.13747353,473,5,F
